"tyear","Period","Agriculture","CropProduction","Livestock","Forestry","Fishing","Industry","MiningAndQuarrying","CrudePetroleumAndNaturalGas","SolidMinerals","CoalMining","MetalOres","QuarryingAndOtherMinerals","Manufacturing","ElectricityGasSteamAndAirCon","WaterSupplySewageWaste","Construction","Services","Trade","AccommodationAndFoodServices","Transport","InformationAndCommunication","Utilities","ArtsEntertainmentAndRecreation","FinanceAndInsurance","RealEstate","ProfessionalScientificAndTechnicalServices","AdministrativeAndSupportServicesBusinessServices","PublicAdministration","Education","HumanHealthAndSocialServices","OtherServices","TOTAL_GDP","TotalGDPatConstantBasicPrices","NonOilGDPatConstantBasicPrices","NetIndirectTaxesOnProducts","TotalGDPatConstantMarketPrices"
"1981","Annual","2364373.15","1854764.44","341411.5","77897.99","90299.23","6603250.12","","4977416.7","67136.73","","","","1558696.7","","","851561.61","3668438","1770381.46","53784.58","264512.65","263409.45","18393.65","4561.07","282170.74","1063959.81","421381.98","3234.81","807075.54","242555.85","110697.65","132700.2","15258004.34","","","","",
"1982","Annual","2425960.89","1897078.85","361115.7","73910.25","93856.08","6272828.03","","4453093.63","54840.5","","","","1764893.89","","","679200.42","3760134.76","1846954.23","50804.26","211891.35","281235.38","17174.34","4597.76","372267.76","1074049.33","423670.54","3252.38","825921.69","248219.81","113282.57","133767.58","14985078.32","","","","",
"1983","Annual","2409081.92","1842704.31","393131.01","75282.78","97963.82","5264881.39","","4052977.68","44014.84","","","","1167888.87","","","598782.27","3775196.35","1801783.24","42696.03","178322.31","278786.5","22263.13","4324.58","336896.5","1086703.98","481170.73","3693.79","844767.84","253883.77","115867.49","125819.69","13849725.17","","","","",
"1984","Annual","2303505.42","1759115.15","399685.38","76694.14","68010.74","5621181.44","","4559196.21","43078.37","","","","1018906.87","","","488143.29","3704124.78","1662300.57","35968.39","170279.79","253756.74","19310.83","3543.43","267287.62","1086931.99","518359.9","3979.28","863613.99","259547.73","118452.41","103092.67","13779255.49","","","","",
"1985","Annual","2731062.47","2180907.71","428102.85","78082.45","43969.46","6379599.38","","4918272.5","44539.09","","","","1416787.79","","","336270.79","3779001.01","1727979.4","33192.6","203571.16","202382.95","15498.05","3395.55","254993.44","1091378.22","602464.66","4624.92","882460.14","265211.69","121037.33","98790.3","14953913.05","","","","",
"1986","Annual","2986835.38","2427100.66","421627.97","86594.92","51511.83","6234407.31","","4825497.52","35247.69","","","","1373662.1","","","335758.58","3892215.95","1788770.07","33674.71","180153.29","202891.59","13521.65","3533.83","303107.42","1100909.11","650810.59","4996.06","901306.29","270875.65","123622.25","102813.51","15237987.29","","","","",
"1987","Annual","2891672.33","2329995.84","433433.52","87594.28","40648.69","6135330.33","","4704423.43","32805.99","","","","1398100.91","","","367003.84","3968983.99","1900938.6","34166.32","180220.12","204924.6","14428.83","3569.16","328771.54","1112486.41","658620.31","5056.01","920152.44","276539.61","126207.17","103841.48","15263929.11","","","","",
"1988","Annual","3174567.62","2581595.05","444269.94","88907.95","59794.67","6474984.23","","4828682.26","28047.35","","","","1618254.62","","","404395.72","4087626.1","2073797.26","34220.38","180520.22","206974.83","15884.24","3604.5","398174.24","1123077.56","665199.94","5106.52","938998.58","282203.57","128792.08","104869.45","16215370.93","","","","",
"1989","Annual","3325947.09","2710674.81","453155.59","67307.31","94809.39","7100757.71","","5407009.46","28658.81","","","","1665089.44","","","421214.38","4290007.77","2156748.99","34562.24","180955.41","210156.89","17258.02","3658.12","539660.77","1139870.62","675183.8","5183.16","957844.73","287867.53","131377","106429.47","17294675.94","","","","",
"1990","Annual","3464716.26","2828589.58","462218.99","72613.57","101294.12","8531586.58","","6831767.68","29085.34","","","","1670733.56","","","442274.21","4645604.76","2221451.35","34907.75","184574.49","214360.46","19364.32","3731.26","785397.02","1196554.34","688686.33","5286.82","976690.88","293531.49","133961.92","108557.67","19305633.16","","","","",
